epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7124,1.83617,1.71175,1.2825,0.90586,0.80838,0.90162,0.49291,1.53615,1.11573,1.0664,0.000552339,0.000552339,0.000552339
2,95.0204,1.373,0.92227,1.02338,0.87483,0.82528,0.89654,0.5196,1.41635,0.98591,1.0541,0.00108607,0.00108607,0.00108607
3,146.023,1.29093,0.81776,0.9966,0.95802,0.90567,0.9705,0.62796,1.24002,0.73991,0.97991,0.00159779,0.00159779,0.00159779
4,381.868,1.1858,0.72045,0.96188,0.96679,0.92135,0.97939,0.66248,1.17066,0.66633,0.95996,0.00156798,0.00156798,0.00156798
5,433.504,1.12303,0.65514,0.94617,0.97603,0.94274,0.98769,0.71576,0.96794,0.56796,0.90453,0.00153497,0.00153497,0.00153497
6,492.815,1.03291,0.6046,0.92293,0.94908,0.93177,0.97378,0.70671,0.98116,0.58544,0.91011,0.00150197,0.00150197,0.00150197
7,544.404,0.98853,0.57406,0.90895,0.98246,0.95125,0.98899,0.74963,0.8905,0.49064,0.88394,0.00146896,0.00146896,0.00146896
8,596.669,0.94088,0.53513,0.89598,0.97854,0.96422,0.99166,0.78158,0.82074,0.4725,0.86774,0.00143595,0.00143595,0.00143595
9,648.994,0.89525,0.51404,0.88616,0.98696,0.97119,0.99275,0.80058,0.75674,0.42929,0.85623,0.00140295,0.00140295,0.00140295
10,703.834,0.86659,0.49495,0.87949,0.98216,0.97029,0.99271,0.8038,0.7532,0.43416,0.85204,0.00136994,0.00136994,0.00136994
11,756.456,0.83955,0.48007,0.87326,0.98536,0.97703,0.99386,0.82041,0.71058,0.40182,0.84575,0.00133693,0.00133693,0.00133693
12,808.94,0.80403,0.46586,0.86688,0.98686,0.97796,0.9939,0.82823,0.6995,0.39693,0.84052,0.00130393,0.00130393,0.00130393
13,861.039,0.7972,0.45659,0.86487,0.97767,0.95154,0.9874,0.78321,0.78722,0.44773,0.86195,0.00127092,0.00127092,0.00127092
14,913.631,0.77851,0.44365,0.85978,0.98759,0.98094,0.99411,0.8223,0.70345,0.39117,0.8415,0.00123791,0.00123791,0.00123791
15,966.072,0.75426,0.43603,0.85451,0.98664,0.9823,0.99413,0.84666,0.65718,0.37068,0.82931,0.00120491,0.00120491,0.00120491
16,1018.18,0.72874,0.41906,0.84956,0.9883,0.98443,0.99427,0.85968,0.59724,0.35055,0.82072,0.0011719,0.0011719,0.0011719
17,1071.28,0.71112,0.40792,0.84615,0.99019,0.98479,0.99427,0.86274,0.60228,0.34236,0.8192,0.00113889,0.00113889,0.00113889
18,1127.82,0.70545,0.40634,0.84441,0.9917,0.98883,0.99472,0.85743,0.60918,0.3376,0.82116,0.00110589,0.00110589,0.00110589
19,1179.37,0.67915,0.39431,0.83987,0.99233,0.99017,0.99462,0.87485,0.57142,0.32599,0.81424,0.00107288,0.00107288,0.00107288
20,1232.4,0.66793,0.38888,0.83815,0.98571,0.98644,0.99419,0.87781,0.56253,0.33064,0.81184,0.00103987,0.00103987,0.00103987
21,1284.32,0.66735,0.38657,0.83766,0.99351,0.99193,0.99468,0.88879,0.53026,0.31082,0.80713,0.00100687,0.00100687,0.00100687
22,1337.68,0.63869,0.37417,0.83355,0.99155,0.99114,0.99466,0.88715,0.52997,0.30672,0.80667,0.000973861,0.000973861,0.000973861
23,1389.76,0.63111,0.36914,0.83318,0.99441,0.99289,0.99482,0.8966,0.50576,0.29991,0.80405,0.000940855,0.000940855,0.000940855
24,1441.5,0.62378,0.36544,0.8303,0.9948,0.99411,0.99485,0.89692,0.50614,0.29524,0.804,0.000907848,0.000907848,0.000907848
25,1495.58,0.61516,0.36105,0.82877,0.99463,0.99361,0.99484,0.90481,0.49503,0.28758,0.80234,0.000874842,0.000874842,0.000874842
26,1551.16,0.6176,0.36138,0.82943,0.99139,0.99102,0.99446,0.89151,0.52603,0.30276,0.8054,0.000841835,0.000841835,0.000841835
27,1603.91,0.59716,0.35207,0.82635,0.99487,0.99389,0.99486,0.90506,0.47858,0.27794,0.79905,0.000808828,0.000808828,0.000808828
28,1658.9,0.58389,0.3465,0.82337,0.995,0.99528,0.99484,0.91354,0.4562,0.27272,0.79564,0.000775822,0.000775822,0.000775822
