epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8877,1.83124,1.70204,1.28339,0.88726,0.74622,0.85285,0.46195,1.60005,1.27373,1.07933,0.000552339,0.000552339,0.000552339
2,108.156,1.37371,0.9228,1.02667,0.94394,0.84386,0.94241,0.56021,1.3641,0.88723,1.02621,0.00108607,0.00108607,0.00108607
3,158.343,1.28512,0.80956,0.99459,0.94079,0.84528,0.94355,0.59075,1.29037,0.80443,0.98935,0.00159779,0.00159779,0.00159779
4,208.896,1.17933,0.72064,0.95791,0.95937,0.9153,0.97925,0.66615,1.1209,0.66918,0.93276,0.00156798,0.00156798,0.00156798
5,259.798,1.12464,0.65821,0.94423,0.97571,0.92488,0.98242,0.68368,1.07359,0.582,0.93132,0.00153497,0.00153497,0.00153497
6,311.933,1.02712,0.59728,0.92079,0.96997,0.93381,0.98271,0.71339,0.99994,0.57475,0.9075,0.00150197,0.00150197,0.00150197
7,363.477,0.99437,0.57476,0.9106,0.98123,0.95227,0.98955,0.73806,0.92936,0.5221,0.89021,0.00146896,0.00146896,0.00146896
8,415.11,0.94334,0.53906,0.89677,0.97354,0.96044,0.99009,0.75957,0.85231,0.4945,0.87098,0.00143595,0.00143595,0.00143595
9,466.458,0.90092,0.51366,0.8881,0.97934,0.96333,0.99189,0.77917,0.8204,0.46279,0.86418,0.00140295,0.00140295,0.00140295
10,518.175,0.85764,0.489,0.8764,0.9799,0.96234,0.99114,0.79717,0.75576,0.43673,0.84979,0.00136994,0.00136994,0.00136994
11,569.922,0.84653,0.48495,0.87471,0.98361,0.96822,0.99246,0.79485,0.78623,0.42889,0.85631,0.00133693,0.00133693,0.00133693
12,627.789,0.81074,0.4635,0.86828,0.9873,0.96881,0.99259,0.81029,0.70771,0.40227,0.83923,0.00130393,0.00130393,0.00130393
13,678.44,0.7734,0.4479,0.86052,0.97768,0.9713,0.99252,0.81555,0.71375,0.40948,0.84102,0.00127092,0.00127092,0.00127092
14,730.547,0.76907,0.44385,0.8576,0.9869,0.98147,0.99373,0.84598,0.6293,0.37375,0.82183,0.00123791,0.00123791,0.00123791
15,787.295,0.74186,0.42936,0.85242,0.99051,0.97608,0.99382,0.84575,0.63817,0.36509,0.82531,0.00120491,0.00120491,0.00120491
16,837.684,0.71825,0.41779,0.84805,0.98455,0.97716,0.99367,0.83976,0.64578,0.37294,0.82664,0.0011719,0.0011719,0.0011719
17,890.012,0.71709,0.41264,0.8463,0.98904,0.98147,0.99412,0.86695,0.58468,0.33732,0.81294,0.00113889,0.00113889,0.00113889
18,943.104,0.69274,0.40068,0.84141,0.98804,0.9859,0.99434,0.87011,0.56779,0.33036,0.81203,0.00110589,0.00110589,0.00110589
19,994.835,0.67592,0.39403,0.83958,0.98885,0.98795,0.99443,0.86818,0.56602,0.33087,0.81076,0.00107288,0.00107288,0.00107288
20,1071.78,0.65844,0.38422,0.83623,0.99262,0.98944,0.99454,0.88013,0.54057,0.32058,0.80771,0.00103987,0.00103987,0.00103987
