epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2068,1.83068,1.71253,1.28055,0.9089,0.79274,0.89558,0.4797,1.56911,1.15084,1.09385,0.000552339,0.000552339,0.000552339
2,89.213,1.37539,0.92784,1.02611,0.90214,0.8596,0.93273,0.56974,1.30422,0.88815,1.00311,0.00108607,0.00108607,0.00108607
3,136.682,1.30377,0.82227,1.00041,0.95524,0.90762,0.97284,0.61826,1.24425,0.73597,0.97946,0.00159779,0.00159779,0.00159779
4,195.887,1.20111,0.72821,0.96557,0.94838,0.89778,0.97428,0.66584,1.07266,0.68205,0.93308,0.00156798,0.00156798,0.00156798
5,247.28,1.10282,0.65325,0.94057,0.96564,0.93075,0.97866,0.6778,1.07042,0.61581,0.93025,0.00153497,0.00153497,0.00153497
6,307.381,1.02055,0.59768,0.91864,0.98113,0.94266,0.98636,0.73663,0.93117,0.55188,0.8952,0.00150197,0.00150197,0.00150197
7,358.829,0.98119,0.57157,0.90706,0.9776,0.94974,0.98529,0.73679,0.90711,0.51998,0.89242,0.00146896,0.00146896,0.00146896
8,409.609,0.92864,0.53508,0.89303,0.98111,0.95473,0.9893,0.75799,0.88172,0.49046,0.87954,0.00143595,0.00143595,0.00143595
9,460.687,0.90433,0.5139,0.8877,0.98694,0.97333,0.99301,0.80268,0.75122,0.42652,0.85192,0.00140295,0.00140295,0.00140295
10,512.863,0.85286,0.4875,0.87605,0.98147,0.97074,0.99199,0.7992,0.75794,0.43588,0.85412,0.00136994,0.00136994,0.00136994
11,563.471,0.83192,0.47747,0.87112,0.98811,0.9771,0.99342,0.82859,0.68355,0.38809,0.83765,0.00133693,0.00133693,0.00133693
12,614.19,0.80476,0.45695,0.86552,0.98858,0.97719,0.99365,0.83525,0.65329,0.37744,0.83231,0.00130393,0.00130393,0.00130393
13,665.003,0.77502,0.44354,0.86031,0.98851,0.97528,0.99333,0.83874,0.65376,0.37842,0.83228,0.00127092,0.00127092,0.00127092
14,715.788,0.75824,0.43608,0.85606,0.98283,0.96932,0.99056,0.82837,0.66297,0.39882,0.83486,0.00123791,0.00123791,0.00123791
15,766.504,0.74006,0.42732,0.85172,0.98808,0.9746,0.99062,0.82864,0.69181,0.3809,0.84035,0.00120491,0.00120491,0.00120491
16,817.166,0.72925,0.41766,0.84939,0.99176,0.98307,0.9944,0.86188,0.60232,0.34677,0.82076,0.0011719,0.0011719,0.0011719
17,870.979,0.71602,0.40692,0.84641,0.9935,0.98403,0.99434,0.86938,0.58648,0.33268,0.81797,0.00113889,0.00113889,0.00113889
18,929.381,0.69115,0.39822,0.84163,0.99015,0.98502,0.99422,0.87842,0.55322,0.3243,0.81345,0.00110589,0.00110589,0.00110589
19,979.892,0.68419,0.39383,0.84004,0.99144,0.98293,0.9942,0.85918,0.59749,0.33207,0.81943,0.00107288,0.00107288,0.00107288
20,1031.05,0.66875,0.38658,0.83751,0.99241,0.98412,0.99376,0.86671,0.57952,0.33119,0.81514,0.00103987,0.00103987,0.00103987
21,1081.84,0.65285,0.37747,0.83431,0.99358,0.98857,0.99458,0.88197,0.55803,0.31275,0.81094,0.00100687,0.00100687,0.00100687
22,1134.39,0.64093,0.37163,0.8337,0.99408,0.98871,0.99468,0.89002,0.53148,0.30749,0.80771,0.000973861,0.000973861,0.000973861
23,1184.94,0.63227,0.36893,0.83255,0.98906,0.98468,0.99403,0.87994,0.54056,0.31538,0.80937,0.000940855,0.000940855,0.000940855
24,1236.15,0.62483,0.36585,0.82996,0.99414,0.98898,0.9946,0.9032,0.48089,0.29208,0.80129,0.000907848,0.000907848,0.000907848
25,1287.42,0.61552,0.36013,0.82904,0.99651,0.98913,0.9947,0.90065,0.49057,0.29186,0.80431,0.000874842,0.000874842,0.000874842
26,1341.3,0.61544,0.36058,0.82943,0.99421,0.98823,0.99457,0.89869,0.48192,0.28932,0.80024,0.000841835,0.000841835,0.000841835
27,1391.96,0.59179,0.34749,0.82496,0.99494,0.98934,0.99464,0.91327,0.4487,0.27121,0.79611,0.000808828,0.000808828,0.000808828
28,1445.6,0.58854,0.34684,0.82376,0.99467,0.98939,0.99464,0.90902,0.46129,0.27457,0.79684,0.000775822,0.000775822,0.000775822
29,1504.98,0.58706,0.3444,0.82279,0.99515,0.98879,0.99452,0.91394,0.46066,0.27177,0.79782,0.000742815,0.000742815,0.000742815
30,1557.38,0.56222,0.33463,0.82045,0.99491,0.98961,0.99467,0.90922,0.45891,0.27284,0.79699,0.000709809,0.000709809,0.000709809
31,1612.77,0.56439,0.33734,0.82029,0.99478,0.98945,0.99469,0.91511,0.4506,0.26867,0.79498,0.000676802,0.000676802,0.000676802
32,1663.76,0.55532,0.33133,0.81783,0.99612,0.99053,0.99468,0.91898,0.45512,0.26571,0.79658,0.000643795,0.000643795,0.000643795
33,1714.87,0.54906,0.32759,0.81752,0.99601,0.99169,0.99476,0.92567,0.41837,0.25402,0.79124,0.000610789,0.000610789,0.000610789
34,1788.81,0.54363,0.32452,0.81633,0.99598,0.98987,0.99479,0.92486,0.43056,0.25623,0.7928,0.000577782,0.000577782,0.000577782
35,1840.22,0.53731,0.32172,0.81649,0.99519,0.99097,0.99469,0.92658,0.42454,0.25014,0.79172,0.000544776,0.000544776,0.000544776
36,2073.34,0.52947,0.31855,0.81388,0.99592,0.99099,0.99467,0.92302,0.42762,0.2549,0.79135,0.000511769,0.000511769,0.000511769
37,2124.54,0.52187,0.31333,0.81247,0.99604,0.99086,0.99474,0.93466,0.40255,0.24419,0.78835,0.000478762,0.000478762,0.000478762
38,2175.13,0.51302,0.31089,0.81183,0.99659,0.98996,0.99459,0.93358,0.39962,0.24528,0.78881,0.000445756,0.000445756,0.000445756
39,2225.97,0.51012,0.30811,0.81164,0.99547,0.99207,0.99475,0.92921,0.4108,0.24557,0.78969,0.000412749,0.000412749,0.000412749
40,2276.69,0.50154,0.30351,0.81012,0.99594,0.99328,0.99474,0.94273,0.379,0.23322,0.78681,0.000379743,0.000379743,0.000379743
41,2360.86,0.47574,0.28899,0.80047,0.99654,0.99191,0.99478,0.93562,0.39851,0.24379,0.788,0.000346736,0.000346736,0.000346736
42,2407.91,0.44434,0.27037,0.79715,0.99605,0.99259,0.99477,0.94367,0.38057,0.23297,0.78565,0.000313729,0.000313729,0.000313729
43,2455.4,0.4328,0.2654,0.79417,0.99675,0.99263,0.99483,0.94675,0.37122,0.22812,0.78505,0.000280723,0.000280723,0.000280723
44,2503.02,0.42404,0.26196,0.79402,0.99666,0.99224,0.99481,0.94874,0.36449,0.22901,0.784,0.000247716,0.000247716,0.000247716
45,2550.36,0.41204,0.25626,0.79312,0.99677,0.99271,0.99477,0.94984,0.36113,0.22583,0.78294,0.00021471,0.00021471,0.00021471
46,2598.25,0.40013,0.25114,0.79093,0.99669,0.99362,0.99476,0.95465,0.34383,0.2196,0.78151,0.000181703,0.000181703,0.000181703
47,2646.04,0.39814,0.24964,0.79043,0.99679,0.99442,0.99479,0.95611,0.3408,0.21695,0.78137,0.000148696,0.000148696,0.000148696
48,2693.66,0.38875,0.24606,0.78907,0.99533,0.99534,0.99483,0.95493,0.34758,0.2186,0.78218,0.00011569,0.00011569,0.00011569
49,2741.54,0.38332,0.24327,0.78792,0.9966,0.9945,0.99485,0.95772,0.33775,0.21567,0.78122,8.26832e-05,8.26832e-05,8.26832e-05
50,2789.04,0.37388,0.24046,0.7882,0.99645,0.99488,0.99482,0.95956,0.32861,0.21088,0.78047,4.96766e-05,4.96766e-05,4.96766e-05
