datetime,date,weather,camera,slot_id,occupied,conf,iou,label_id,hour,dow
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,603,0,0.9254,0.8912,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,604,0,0.9442,0.9376,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,605,0,0.9416,0.9745,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,606,0,0.9383,0.9716,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,607,0,0.8997,0.9344,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,608,1,0.8409,0.8842,0,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,184,0,0.852,0.7423,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,185,1,0.8953,0.9502,0,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,186,1,0.9175,0.9375,0,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,187,0,0.9367,1.0,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,188,0,0.9274,0.9373,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,189,0,0.8985,0.9767,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,190,0,0.9135,0.9535,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,191,0,0.9004,0.954,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,192,0,0.8499,0.9182,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,193,0,0.8422,0.9189,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,194,0,0.8179,0.9444,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,195,0,0.85,0.9437,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,196,1,0.8649,0.9714,0,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,221,0,0.9036,0.9767,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,222,0,0.909,1.0,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,223,0,0.8763,0.9714,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,224,0,0.8555,0.9714,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,225,0,0.8443,0.8663,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,226,0,0.7714,0.7295,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,227,0,0.783,0.8954,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,228,0,0.7954,1.0,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,229,0,0.7608,0.9298,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,230,0,0.7896,0.9643,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,262,0,0.904,0.9714,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,263,0,0.831,0.8656,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,264,0,0.8317,0.9298,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,265,0,0.7674,0.9643,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,266,0,0.766,0.8656,1,7,3
2015-11-12 07:09:00,2015-11-12,SUNNY,camera1,267,0,0.798,0.8656,1,7,3
2015-11-12 07:13:00,2015-11-12,SUNNY,camera8,613,0,0.9446,0.9346,1,7,3
2015-11-12 07:13:00,2015-11-12,SUNNY,camera8,614,0,0.9433,0.9604,1,7,3
2015-11-12 07:13:00,2015-11-12,SUNNY,camera8,615,0,0.954,0.9475,1,7,3
2015-11-12 07:13:00,2015-11-12,SUNNY,camera8,211,0,0.9368,0.9558,1,7,3
2015-11-12 07:13:00,2015-11-12,SUNNY,camera8,212,0,0.9524,0.9692,1,7,3
2015-11-12 07:13:00,2015-11-12,SUNNY,camera8,213,0,0.9507,0.9539,1,7,3
2015-11-12 07:13:00,2015-11-12,SUNNY,camera8,214,0,0.9563,0.9788,1,7,3
2015-11-12 07:13:00,2015-11-12,SUNNY,camera8,215,0,0.943,0.9857,1,7,3
